,Team,coach_age,coach_name,season,playoff_games,playoff_wins,playoff_loses,playoff_W/L%,season_games,season_wins,season_loses,season_W/L%,season_position
2,,,Clair Bee,Career,2.0,0.0,2.0,0.0,139,32.0,107.0,0.23,
0,FTW,33.0,Carl Bennett,1948-49,,,,,6,0.0,6.0,0.0,5.0
1,,,Carl Bennett,Career,,,,,6,0.0,6.0,0.0,
11,CHI,,Bill Berry,2001-02,,,,,2,0.0,2.0,0.0,8.0
13,,,Bill Berry,Career,,,,,2,0.0,2.0,0.0,
18,LAL,66.0,Bill Bertka,1993-94,,,,,2,1.0,1.0,0.5,5.0
24,LAL,71.0,Bill Bertka,1998-99,,,,,1,1.0,0.0,1.0,2.0
27,,,Bill Bertka,Career,,,,,3,2.0,1.0,0.667,
1,SEA,35.0,Al Bianchi,1967-68,,,,,82,23.0,59.0,0.28,5.0
2,SEA,36.0,Al Bianchi,1968-69,,,,,82,30.0,52.0,0.366,6.0
3,WSA,37.0,Al Bianchi,1969-70,7.0,3.0,4.0,0.429,84,44.0,40.0,0.524,3.0
4,VIR,38.0,Al Bianchi,1970-71,12.0,6.0,6.0,0.5,84,55.0,29.0,0.655,1.0
5,VIR,39.0,Al Bianchi,1971-72,11.0,7.0,4.0,0.636,84,45.0,39.0,0.536,2.0
6,VIR,40.0,Al Bianchi,1972-73,5.0,1.0,4.0,0.2,84,42.0,42.0,0.5,3.0
7,VIR,41.0,Al Bianchi,1973-74,5.0,1.0,4.0,0.2,84,28.0,56.0,0.33299999999999996,4.0
8,VIR,42.0,Al Bianchi,1974-75,,,,,84,15.0,69.0,0.179,5.0
10,VIR,43.0,Al Bianchi,1975-76,,,,,7,1.0,6.0,0.14300000000000002,7.0
23,,,Al Bianchi,Career,40.0,18.0,22.0,0.45,675,283.0,392.0,0.419,
12,SEA,41.0,Bernie Bickerstaff,1985-86,,,,,82,31.0,51.0,0.37799999999999995,5.0
13,SEA,42.0,Bernie Bickerstaff,1986-87,14.0,7.0,7.0,0.5,82,39.0,43.0,0.47600000000000003,4.0
14,SEA,43.0,Bernie Bickerstaff,1987-88,5.0,2.0,3.0,0.4,82,44.0,38.0,0.537,3.0
15,SEA,44.0,Bernie Bickerstaff,1988-89,8.0,3.0,5.0,0.375,82,47.0,35.0,0.573,3.0
16,SEA,45.0,Bernie Bickerstaff,1989-90,,,,,82,41.0,41.0,0.5,4.0
17,DEN,50.0,Bernie Bickerstaff,1994-95,3.0,0.0,3.0,0.0,32,20.0,12.0,0.625,4.0
18,DEN,51.0,Bernie Bickerstaff,1995-96,,,,,82,35.0,47.0,0.42700000000000005,4.0
19,DEN,52.0,Bernie Bickerstaff,1996-97,,,,,13,4.0,9.0,0.308,5.0
20,WSB,52.0,Bernie Bickerstaff,1996-97,3.0,0.0,3.0,0.0,35,22.0,13.0,0.629,4.0
21,WAS,53.0,Bernie Bickerstaff,1997-98,,,,,82,42.0,40.0,0.512,4.0
22,WAS,54.0,Bernie Bickerstaff,1998-99,,,,,32,13.0,19.0,0.406,6.0
23,CHA,60.0,Bernie Bickerstaff,2004-05,,,,,82,18.0,64.0,0.22,4.0
24,CHA,61.0,Bernie Bickerstaff,2005-06,,,,,82,26.0,56.0,0.317,4.0
25,CHA,62.0,Bernie Bickerstaff,2006-07,,,,,82,33.0,49.0,0.402,4.0
31,LAL,68.0,Bernie Bickerstaff,2012-13,,,,,5,4.0,1.0,0.8,3.0
33,,,Bernie Bickerstaff,Career,33.0,12.0,21.0,0.364,937,419.0,518.0,0.447,
12,HOU,36.0,J.B. Bickerstaff,2015-16,5.0,1.0,4.0,0.2,71,37.0,34.0,0.521,4.0
15,MEM,38.0,J.B. Bickerstaff,2017-18,,,,,63,15.0,48.0,0.23800000000000002,5.0
16,MEM,39.0,J.B. Bickerstaff,2018-19,,,,,74,30.0,44.0,0.405,4.0
17,,,J.B. Bickerstaff,Career,5.0,1.0,4.0,0.2,208,82.0,126.0,0.39399999999999996,
0,PIT,37.0,Paul Birch,1946-47,,,,,60,15.0,45.0,0.25,5.0
