,Team,coach_age,coach_name,season,playoff_games,playoff_wins,playoff_loses,playoff_W/L%,season_games,season_wins,season_loses,season_W/L%,season_position
118,NJN,48.0,Butch Beard,1996,,,,,82,30.0,52.0,0.366,6.0
120,BLB,56.0,Clair Bee,1953,2.0,0.0,2.0,0.0,67,16.0,51.0,0.239,4.0
121,BLB,57.0,Clair Bee,1954,,,,,72,16.0,56.0,0.222,5.0
123,FTW,33.0,Carl Bennett,1949,,,,,6,0.0,6.0,0.0,5.0
125,CHI,,Bill Berry,2002,,,,,2,0.0,2.0,0.0,8.0
127,LAL,66.0,Bill Bertka,1994,,,,,2,1.0,1.0,0.5,5.0
128,LAL,71.0,Bill Bertka,1999,,,,,1,1.0,0.0,1.0,2.0
130,SEA,35.0,Al Bianchi,1968,,,,,82,23.0,59.0,0.28,5.0
131,SEA,36.0,Al Bianchi,1969,,,,,82,30.0,52.0,0.366,6.0
132,WSA,37.0,Al Bianchi,1970,7.0,3.0,4.0,0.429,84,44.0,40.0,0.524,3.0
133,VIR,38.0,Al Bianchi,1971,12.0,6.0,6.0,0.5,84,55.0,29.0,0.655,1.0
134,VIR,39.0,Al Bianchi,1972,11.0,7.0,4.0,0.636,84,45.0,39.0,0.536,2.0
135,VIR,40.0,Al Bianchi,1973,5.0,1.0,4.0,0.2,84,42.0,42.0,0.5,3.0
136,VIR,41.0,Al Bianchi,1974,5.0,1.0,4.0,0.2,84,28.0,56.0,0.333,4.0
137,VIR,42.0,Al Bianchi,1975,,,,,84,15.0,69.0,0.179,5.0
138,VIR,43.0,Al Bianchi,1976,,,,,7,1.0,6.0,0.14300000000000002,7.0
140,SEA,41.0,Bernie Bickerstaff,1986,,,,,82,31.0,51.0,0.378,5.0
141,SEA,42.0,Bernie Bickerstaff,1987,14.0,7.0,7.0,0.5,82,39.0,43.0,0.476,4.0
142,SEA,43.0,Bernie Bickerstaff,1988,5.0,2.0,3.0,0.4,82,44.0,38.0,0.537,3.0
